category,unit,lesson,lesson_type,item_id,text,pinyin,target_file,recording_note
生字单字,1.春天与识字,3.小青蛙,儿歌,xiaoqingwa-word-1,清,qīng,audio/words/xiaoqingwa-1.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,1.春天与识字,3.小青蛙,儿歌,xiaoqingwa-word-2,气,qì,audio/words/xiaoqingwa-2.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,1.春天与识字,3.小青蛙,儿歌,xiaoqingwa-word-3,晴,qíng,audio/words/xiaoqingwa-3.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,1.春天与识字,3.小青蛙,儿歌,xiaoqingwa-word-4,情,qíng,audio/words/xiaoqingwa-4.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,1.春天与识字,3.小青蛙,儿歌,xiaoqingwa-word-5,请,qǐng,audio/words/xiaoqingwa-5.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
课文朗读,1.春天与识字,3.小青蛙,儿歌,xiaoqingwa-lesson,河水清清天气晴。 小小青蛙大眼睛。,,audio/lessons/xiaoqingwa.mp3,按一年级学生听感慢速朗读，语气自然亲切，句间停顿明显。
句子练习,1.春天与识字,3.小青蛙,儿歌,xiaoqingwa-sentence,小青蛙保护禾苗。,,audio/sentences/xiaoqingwa.mp3,完整句子朗读一遍，可作为后续句子补空和跟读素材。
生字单字,1.春天与识字,4.猜字谜,游戏,caizimi-word-0,字,zì,audio/words/caizimi-0.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,1.春天与识字,4.猜字谜,游戏,caizimi-word-1,左,zuǒ,audio/words/caizimi-1.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,1.春天与识字,4.猜字谜,游戏,caizimi-word-2,右,yòu,audio/words/caizimi-2.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,1.春天与识字,4.猜字谜,游戏,caizimi-word-3,红,hóng,audio/words/caizimi-3.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,1.春天与识字,4.猜字谜,游戏,caizimi-word-4,时,shí,audio/words/caizimi-4.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,1.春天与识字,4.猜字谜,游戏,caizimi-word-5,动,dòng,audio/words/caizimi-5.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
课文朗读,1.春天与识字,4.猜字谜,游戏,caizimi-lesson,猜一猜，想一想。 汉字里面有故事。,,audio/lessons/caizimi.mp3,按一年级学生听感慢速朗读，语气自然亲切，句间停顿明显。
句子练习,1.春天与识字,4.猜字谜,游戏,caizimi-sentence,左右相遇起凉风。,,audio/sentences/caizimi.mp3,完整句子朗读一遍，可作为后续句子补空和跟读素材。
生字单字,1.春天与识字,5.听故事，讲故事,口语交际,kouyu_tinggushi-word-0,听,tīng,audio/words/kouyu_tinggushi-0.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,1.春天与识字,5.听故事，讲故事,口语交际,kouyu_tinggushi-word-1,讲,jiǎng,audio/words/kouyu_tinggushi-1.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,1.春天与识字,5.听故事，讲故事,口语交际,kouyu_tinggushi-word-2,故,gù,audio/words/kouyu_tinggushi-2.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,1.春天与识字,5.听故事，讲故事,口语交际,kouyu_tinggushi-word-3,事,shì,audio/words/kouyu_tinggushi-3.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,1.春天与识字,5.听故事，讲故事,口语交际,kouyu_tinggushi-word-4,声,shēng,audio/words/kouyu_tinggushi-4.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,1.春天与识字,5.听故事，讲故事,口语交际,kouyu_tinggushi-word-5,清,qīng,audio/words/kouyu_tinggushi-5.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
课文朗读,1.春天与识字,5.听故事，讲故事,口语交际,kouyu_tinggushi-lesson,听完故事，再把故事讲清楚。 完成任务后，大声读给家长听。,,audio/lessons/kouyu_tinggushi.mp3,按一年级学生听感慢速朗读，语气自然亲切，句间停顿明显。
句子练习,1.春天与识字,5.听故事，讲故事,口语交际,kouyu_tinggushi-sentence,听完故事，再把故事讲清楚。,,audio/sentences/kouyu_tinggushi.mp3,完整句子朗读一遍，可作为后续句子补空和跟读素材。
生字单字,1.春天与识字,6.语文园地一,园地,yuwenyuandi1-word-0,阴,yīn,audio/words/yuwenyuandi1-0.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,1.春天与识字,6.语文园地一,园地,yuwenyuandi1-word-1,雷,léi,audio/words/yuwenyuandi1-1.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,1.春天与识字,6.语文园地一,园地,yuwenyuandi1-word-2,电,diàn,audio/words/yuwenyuandi1-2.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,1.春天与识字,6.语文园地一,园地,yuwenyuandi1-word-3,阵,zhèn,audio/words/yuwenyuandi1-3.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,1.春天与识字,6.语文园地一,园地,yuwenyuandi1-word-4,冰,bīng,audio/words/yuwenyuandi1-4.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,1.春天与识字,6.语文园地一,园地,yuwenyuandi1-word-5,冻,dòng,audio/words/yuwenyuandi1-5.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
课文朗读,1.春天与识字,6.语文园地一,园地,yuwenyuandi1-lesson,在园地里复习天气词语。 完成任务后，大声读给家长听。,,audio/lessons/yuwenyuandi1.mp3,按一年级学生听感慢速朗读，语气自然亲切，句间停顿明显。
句子练习,1.春天与识字,6.语文园地一,园地,yuwenyuandi1-sentence,在园地里复习天气词语。,,audio/sentences/yuwenyuandi1.mp3,完整句子朗读一遍，可作为后续句子补空和跟读素材。
生字单字,1.春天与识字,7.快乐读书吧,阅读,kuaile_dushuba-word-0,读,dú,audio/words/kuaile_dushuba-0.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,1.春天与识字,7.快乐读书吧,阅读,kuaile_dushuba-word-1,童,tóng,audio/words/kuaile_dushuba-1.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,1.春天与识字,7.快乐读书吧,阅读,kuaile_dushuba-word-2,谣,yáo,audio/words/kuaile_dushuba-2.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,1.春天与识字,7.快乐读书吧,阅读,kuaile_dushuba-word-3,歌,gē,audio/words/kuaile_dushuba-3.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,1.春天与识字,7.快乐读书吧,阅读,kuaile_dushuba-word-4,笑,xiào,audio/words/kuaile_dushuba-4.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,1.春天与识字,7.快乐读书吧,阅读,kuaile_dushuba-word-5,拍,pāi,audio/words/kuaile_dushuba-5.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
课文朗读,1.春天与识字,7.快乐读书吧,阅读,kuaile_dushuba-lesson,读读童谣和儿歌，跟着节奏拍一拍。 完成任务后，大声读给家长听。,,audio/lessons/kuaile_dushuba.mp3,按一年级学生听感慢速朗读，语气自然亲切，句间停顿明显。
句子练习,1.春天与识字,7.快乐读书吧,阅读,kuaile_dushuba-sentence,读读童谣和儿歌，跟着节奏拍一拍。,,audio/sentences/kuaile_dushuba.mp3,完整句子朗读一遍，可作为后续句子补空和跟读素材。
生字单字,2.愿望与伙伴,1.吃水不忘挖井人,课文,chishuibuwangwajingren-word-0,吃,chī,audio/words/chishuibuwangwajingren-0.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,2.愿望与伙伴,1.吃水不忘挖井人,课文,chishuibuwangwajingren-word-1,叫,jiào,audio/words/chishuibuwangwajingren-1.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,2.愿望与伙伴,1.吃水不忘挖井人,课文,chishuibuwangwajingren-word-2,主,zhǔ,audio/words/chishuibuwangwajingren-2.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,2.愿望与伙伴,1.吃水不忘挖井人,课文,chishuibuwangwajingren-word-3,江,jiāng,audio/words/chishuibuwangwajingren-3.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,2.愿望与伙伴,1.吃水不忘挖井人,课文,chishuibuwangwajingren-word-4,住,zhù,audio/words/chishuibuwangwajingren-4.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,2.愿望与伙伴,1.吃水不忘挖井人,课文,chishuibuwangwajingren-word-5,没,méi,audio/words/chishuibuwangwajingren-5.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
课文朗读,2.愿望与伙伴,1.吃水不忘挖井人,课文,chishuibuwangwajingren-lesson,吃水不忘挖井人。 想一想，谁帮助过我们？,,audio/lessons/chishuibuwangwajingren.mp3,按一年级学生听感慢速朗读，语气自然亲切，句间停顿明显。
句子练习,2.愿望与伙伴,1.吃水不忘挖井人,课文,chishuibuwangwajingren-sentence,吃水不忘挖井人。,,audio/sentences/chishuibuwangwajingren.mp3,完整句子朗读一遍，可作为后续句子补空和跟读素材。
生字单字,2.愿望与伙伴,2.我多想去看看,朗读,woduoxiangqukankan-word-0,会,huì,audio/words/woduoxiangqukankan-0.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,2.愿望与伙伴,2.我多想去看看,朗读,woduoxiangqukankan-word-1,走,zǒu,audio/words/woduoxiangqukankan-1.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,2.愿望与伙伴,2.我多想去看看,朗读,woduoxiangqukankan-word-2,北,běi,audio/words/woduoxiangqukankan-2.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,2.愿望与伙伴,2.我多想去看看,朗读,woduoxiangqukankan-word-3,京,jīng,audio/words/woduoxiangqukankan-3.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,2.愿望与伙伴,2.我多想去看看,朗读,woduoxiangqukankan-word-4,门,mén,audio/words/woduoxiangqukankan-4.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,2.愿望与伙伴,2.我多想去看看,朗读,woduoxiangqukankan-word-5,广,guǎng,audio/words/woduoxiangqukankan-5.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
课文朗读,2.愿望与伙伴,2.我多想去看看,朗读,woduoxiangqukankan-lesson,我多想去看看。 看看美丽的天安门。,,audio/lessons/woduoxiangqukankan.mp3,按一年级学生听感慢速朗读，语气自然亲切，句间停顿明显。
句子练习,2.愿望与伙伴,2.我多想去看看,朗读,woduoxiangqukankan-sentence,我多想去看看。,,audio/sentences/woduoxiangqukankan.mp3,完整句子朗读一遍，可作为后续句子补空和跟读素材。
生字单字,2.愿望与伙伴,3.一个接一个,课文,yigejieyige-word-0,过,guò,audio/words/yigejieyige-0.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,2.愿望与伙伴,3.一个接一个,课文,yigejieyige-word-1,各,gè,audio/words/yigejieyige-1.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,2.愿望与伙伴,3.一个接一个,课文,yigejieyige-word-2,种,zhǒng,audio/words/yigejieyige-2.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,2.愿望与伙伴,3.一个接一个,课文,yigejieyige-word-3,样,yàng,audio/words/yigejieyige-3.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,2.愿望与伙伴,3.一个接一个,课文,yigejieyige-word-4,伙,huǒ,audio/words/yigejieyige-4.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,2.愿望与伙伴,3.一个接一个,课文,yigejieyige-word-5,伴,bàn,audio/words/yigejieyige-5.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
课文朗读,2.愿望与伙伴,3.一个接一个,课文,yigejieyige-lesson,一个接一个。 快乐也一个接一个。,,audio/lessons/yigejieyige.mp3,按一年级学生听感慢速朗读，语气自然亲切，句间停顿明显。
句子练习,2.愿望与伙伴,3.一个接一个,课文,yigejieyige-sentence,伙伴们一个接一个。,,audio/sentences/yigejieyige.mp3,完整句子朗读一遍，可作为后续句子补空和跟读素材。
生字单字,2.愿望与伙伴,4.四个太阳,想象,sigetaiyang-word-0,太,tài,audio/words/sigetaiyang-0.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,2.愿望与伙伴,4.四个太阳,想象,sigetaiyang-word-1,阳,yáng,audio/words/sigetaiyang-1.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,2.愿望与伙伴,4.四个太阳,想象,sigetaiyang-word-2,道,dào,audio/words/sigetaiyang-2.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,2.愿望与伙伴,4.四个太阳,想象,sigetaiyang-word-3,送,sòng,audio/words/sigetaiyang-3.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,2.愿望与伙伴,4.四个太阳,想象,sigetaiyang-word-4,忙,máng,audio/words/sigetaiyang-4.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,2.愿望与伙伴,4.四个太阳,想象,sigetaiyang-word-5,尝,cháng,audio/words/sigetaiyang-5.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
课文朗读,2.愿望与伙伴,4.四个太阳,想象,sigetaiyang-lesson,我画了个绿绿的太阳。 送给夏天一片清凉。,,audio/lessons/sigetaiyang.mp3,按一年级学生听感慢速朗读，语气自然亲切，句间停顿明显。
句子练习,2.愿望与伙伴,4.四个太阳,想象,sigetaiyang-sentence,我画了个绿绿的太阳。,,audio/sentences/sigetaiyang.mp3,完整句子朗读一遍，可作为后续句子补空和跟读素材。
生字单字,2.愿望与伙伴,5.语文园地二,园地,yuwenyuandi2-word-0,辆,liàng,audio/words/yuwenyuandi2-0.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,2.愿望与伙伴,5.语文园地二,园地,yuwenyuandi2-word-1,匹,pǐ,audio/words/yuwenyuandi2-1.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,2.愿望与伙伴,5.语文园地二,园地,yuwenyuandi2-word-2,册,cè,audio/words/yuwenyuandi2-2.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,2.愿望与伙伴,5.语文园地二,园地,yuwenyuandi2-word-3,支,zhī,audio/words/yuwenyuandi2-3.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,2.愿望与伙伴,5.语文园地二,园地,yuwenyuandi2-word-4,棵,kē,audio/words/yuwenyuandi2-4.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,2.愿望与伙伴,5.语文园地二,园地,yuwenyuandi2-word-5,架,jià,audio/words/yuwenyuandi2-5.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
课文朗读,2.愿望与伙伴,5.语文园地二,园地,yuwenyuandi2-lesson,一辆车，一匹马，量词要用对。 完成任务后，大声读给家长听。,,audio/lessons/yuwenyuandi2.mp3,按一年级学生听感慢速朗读，语气自然亲切，句间停顿明显。
句子练习,2.愿望与伙伴,5.语文园地二,园地,yuwenyuandi2-sentence,一辆车，一匹马，量词要用对。,,audio/sentences/yuwenyuandi2.mp3,完整句子朗读一遍，可作为后续句子补空和跟读素材。
生字单字,3.伙伴与快乐,1.小公鸡和小鸭子,课文,xiaogongji_xiaoyazi-word-0,他,tā,audio/words/xiaogongji_xiaoyazi-0.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,3.伙伴与快乐,1.小公鸡和小鸭子,课文,xiaogongji_xiaoyazi-word-1,河,hé,audio/words/xiaogongji_xiaoyazi-1.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,3.伙伴与快乐,1.小公鸡和小鸭子,课文,xiaogongji_xiaoyazi-word-2,说,shuō,audio/words/xiaogongji_xiaoyazi-2.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,3.伙伴与快乐,1.小公鸡和小鸭子,课文,xiaogongji_xiaoyazi-word-3,也,yě,audio/words/xiaogongji_xiaoyazi-3.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,3.伙伴与快乐,1.小公鸡和小鸭子,课文,xiaogongji_xiaoyazi-word-4,地,dì,audio/words/xiaogongji_xiaoyazi-4.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,3.伙伴与快乐,1.小公鸡和小鸭子,课文,xiaogongji_xiaoyazi-word-5,听,tīng,audio/words/xiaogongji_xiaoyazi-5.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
课文朗读,3.伙伴与快乐,1.小公鸡和小鸭子,课文,xiaogongji_xiaoyazi-lesson,小伙伴互相帮助，心里很高兴。 完成任务后，大声读给家长听。,,audio/lessons/xiaogongji_xiaoyazi.mp3,按一年级学生听感慢速朗读，语气自然亲切，句间停顿明显。
句子练习,3.伙伴与快乐,1.小公鸡和小鸭子,课文,xiaogongji_xiaoyazi-sentence,小伙伴互相帮助，心里很高兴。,,audio/sentences/xiaogongji_xiaoyazi.mp3,完整句子朗读一遍，可作为后续句子补空和跟读素材。
生字单字,3.伙伴与快乐,2.树和喜鹊,课文,shu_he_xique-word-0,单,dān,audio/words/shu_he_xique-0.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,3.伙伴与快乐,2.树和喜鹊,课文,shu_he_xique-word-1,居,jū,audio/words/shu_he_xique-1.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,3.伙伴与快乐,2.树和喜鹊,课文,shu_he_xique-word-2,招,zhāo,audio/words/shu_he_xique-2.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,3.伙伴与快乐,2.树和喜鹊,课文,shu_he_xique-word-3,呼,hū,audio/words/shu_he_xique-3.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,3.伙伴与快乐,2.树和喜鹊,课文,shu_he_xique-word-4,快,kuài,audio/words/shu_he_xique-4.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,3.伙伴与快乐,2.树和喜鹊,课文,shu_he_xique-word-5,乐,lè,audio/words/shu_he_xique-5.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
课文朗读,3.伙伴与快乐,2.树和喜鹊,课文,shu_he_xique-lesson,有了邻居，树和喜鹊都快乐。 完成任务后，大声读给家长听。,,audio/lessons/shu_he_xique.mp3,按一年级学生听感慢速朗读，语气自然亲切，句间停顿明显。
句子练习,3.伙伴与快乐,2.树和喜鹊,课文,shu_he_xique-sentence,有了邻居，树和喜鹊都快乐。,,audio/sentences/shu_he_xique.mp3,完整句子朗读一遍，可作为后续句子补空和跟读素材。
生字单字,3.伙伴与快乐,3.怎么都快乐,课文,zenme_dou_kuaile-word-0,玩,wán,audio/words/zenme_dou_kuaile-0.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,3.伙伴与快乐,3.怎么都快乐,课文,zenme_dou_kuaile-word-1,很,hěn,audio/words/zenme_dou_kuaile-1.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,3.伙伴与快乐,3.怎么都快乐,课文,zenme_dou_kuaile-word-2,当,dāng,audio/words/zenme_dou_kuaile-2.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,3.伙伴与快乐,3.怎么都快乐,课文,zenme_dou_kuaile-word-3,音,yīn,audio/words/zenme_dou_kuaile-3.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,3.伙伴与快乐,3.怎么都快乐,课文,zenme_dou_kuaile-word-4,讲,jiǎng,audio/words/zenme_dou_kuaile-4.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,3.伙伴与快乐,3.怎么都快乐,课文,zenme_dou_kuaile-word-5,行,xíng,audio/words/zenme_dou_kuaile-5.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
课文朗读,3.伙伴与快乐,3.怎么都快乐,课文,zenme_dou_kuaile-lesson,一个人玩很好，许多人玩也快乐。 完成任务后，大声读给家长听。,,audio/lessons/zenme_dou_kuaile.mp3,按一年级学生听感慢速朗读，语气自然亲切，句间停顿明显。
句子练习,3.伙伴与快乐,3.怎么都快乐,课文,zenme_dou_kuaile-sentence,一个人玩很好，许多人玩也快乐。,,audio/sentences/zenme_dou_kuaile.mp3,完整句子朗读一遍，可作为后续句子补空和跟读素材。
生字单字,3.伙伴与快乐,4.请你帮个忙,口语交际,kouyu_bangmang-word-0,请,qǐng,audio/words/kouyu_bangmang-0.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,3.伙伴与快乐,4.请你帮个忙,口语交际,kouyu_bangmang-word-1,帮,bāng,audio/words/kouyu_bangmang-1.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,3.伙伴与快乐,4.请你帮个忙,口语交际,kouyu_bangmang-word-2,忙,máng,audio/words/kouyu_bangmang-2.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,3.伙伴与快乐,4.请你帮个忙,口语交际,kouyu_bangmang-word-3,借,jiè,audio/words/kouyu_bangmang-3.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,3.伙伴与快乐,4.请你帮个忙,口语交际,kouyu_bangmang-word-4,谢,xiè,audio/words/kouyu_bangmang-4.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,3.伙伴与快乐,4.请你帮个忙,口语交际,kouyu_bangmang-word-5,礼,lǐ,audio/words/kouyu_bangmang-5.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
课文朗读,3.伙伴与快乐,4.请你帮个忙,口语交际,kouyu_bangmang-lesson,请别人帮忙，要把话说清楚。 完成任务后，大声读给家长听。,,audio/lessons/kouyu_bangmang.mp3,按一年级学生听感慢速朗读，语气自然亲切，句间停顿明显。
句子练习,3.伙伴与快乐,4.请你帮个忙,口语交际,kouyu_bangmang-sentence,请别人帮忙，要把话说清楚。,,audio/sentences/kouyu_bangmang.mp3,完整句子朗读一遍，可作为后续句子补空和跟读素材。
生字单字,3.伙伴与快乐,5.语文园地三,园地,yuwenyuandi3-word-0,查,chá,audio/words/yuwenyuandi3-0.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,3.伙伴与快乐,5.语文园地三,园地,yuwenyuandi3-word-1,字,zì,audio/words/yuwenyuandi3-1.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,3.伙伴与快乐,5.语文园地三,园地,yuwenyuandi3-word-2,典,diǎn,audio/words/yuwenyuandi3-2.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,3.伙伴与快乐,5.语文园地三,园地,yuwenyuandi3-word-3,音,yīn,audio/words/yuwenyuandi3-3.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,3.伙伴与快乐,5.语文园地三,园地,yuwenyuandi3-word-4,序,xù,audio/words/yuwenyuandi3-4.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,3.伙伴与快乐,5.语文园地三,园地,yuwenyuandi3-word-5,部,bù,audio/words/yuwenyuandi3-5.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
课文朗读,3.伙伴与快乐,5.语文园地三,园地,yuwenyuandi3-lesson,遇到不认识的字，可以学着查字典。 完成任务后，大声读给家长听。,,audio/lessons/yuwenyuandi3.mp3,按一年级学生听感慢速朗读，语气自然亲切，句间停顿明显。
